research_name,logger,packbusID,Table,link,loggernet_variable,cr1000_name,definition,units,var_type,rolling_clean,resolution_minutes,variability_constant
timestamp_local,Chapada_High,801,Chapada_High_ChamberBME280,high,TIMESTAMP,timestamp,timestamp ,local,zone,no,1,
record,Chapada_High,801,Chapada_High_ChamberBME280,high,RECORD,record,record,NA,zone,no,1,
battery_voltage_min,Chapada_High,801,Chapada_High_ChamberBME280,high,BattV_Min,battv_min,minimum voltage from battery over 15 minute time period,volts,zone,no,1,
panel_temperature,Chapada_High,801,Chapada_High_ChamberBME280,high,PTemp_C,ptemp_c,Default CR1000 Datalogger Wiring Panel Temperature measurement,degrees C,zone,no,1,
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H1,BP(1),bp1,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H2,BP(2),bp2,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H3,BP(3),bp3,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H4,BP(4),bp4,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H5,BP(5),bp5,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H6,BP(6),bp6,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H7,BP(7),bp7,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H8,BP(8),bp8,barometric pressure inside chamber ,mbar,chamber,yes,1,10
barometric_pressure,Chapada_High,801,Chapada_High_ChamberBME280,H9,BP(9),bp9,barometric pressure inside chamber ,mbar,chamber,yes,1,10
relative_humidity,Chapada_High,801,Chapada_High_ChamberBME280,H1,RH(1),rh1,relative humidity inside chamber,percent,chamber,yes,1,20
relative_humidity,Chapada_High,801,Chapada_High_ChamberBME280,H2,RH(2),rh2,relative humidity inside chamber,percent,chamber,yes,1,20
